Optum Ventures,1
North Bridge Growth Equity,1
LTW Capital,1
TMT Investments,1
Highland Europe,1
Geodesic Capital,1
Flagship Pioneering,1
Kefa Capital,1
Carsales,1
STO Express,1
SWaN & Legend Ventures,1
Foxconn Technology Company,1
Silversmith Capital Partners,1
Xingwang Investment Management,1
American Family Ventures,1
CITIC Securities International,1
Yinhong Equity Investment Fund,1
Yinxinggu Capital,1
FundersClub,1
Pritzker Group Venture Capital,1
D1 Capital Partners,1
Wanxin Media,1
Fashion Tech Lab,1
Caterpillar,1
First Round Capital,1
Google Capital,1
ConsenSys Ventures,1
Sherpalo Ventures,1
Vertex Ventures Israel,1
McKesson Ventures,1
Owl Ventures,1
Genesis Partners,1
Scale Venture Partners,1
Cherry Ventures,1
SCB 10X,1
SingTel Innov8,1
Storm Ventures,1
Alta Ventures Mexico,1
QF Capital,1
Advance Venture Partners,1
Nextech Invest,1
BlackRock,1
Ironbridge Capital,1
Blumberg Capital,1
Blackstone,1
Emergence Capital Partners,1
Drive Capital,1
Deciens Capital,1
Addition,1
Octopus Ventures,1
Aspect Ventures,1
Sixth Street Partners,1
Geely,1
Griffin Gaming Partners,1
01 Advisors,1
Blackbird Ventures,1
Riverwood Capital,1
Liberty City Ventures,1
V FUND,1
Refactor Capital,1
Artiman Ventures,1
Signal Peak Ventures,1
83North,1
Venture Highway,1
York Capital Management,1
ITOCHU Corporation,1
Monashees+,1
Kaiser Permanente Ventures,1
Fonds de Solidarite FTQ,1
Coatue Managemeny,1
Contour Venture Partners,1
Moonshots Capital,1
Zhangjiang Haocheng Venture Capital,1
Silver Lake,1
Amazon,1
TLV Partners,1
Bnk To The Future,1
Green Visor Capital,1
Vattenfall,1
LocalGlobe,1
Lindeman Asia Investment,1
JTC Group,1
TAL Education Group,1
Eurazeo,1
Trinity Ventures,1
Jerusalem Venture Partners,1
Advantech Capital,1
Bojiang Capital,1
Guozhong Venture Capital Management,1
Fairfax Financial Holdings,1
BOC International,1
Accelm Scania Growth Capital,1
A&NN,1
Sutter Hill Ventures,1
CreditEase Fintech Investment Fund,1
GM Ventures,1
Yunfeng Capital,1
Relay Ventures,1
Orange Digital Ventures,1
Elaia Partners,1
China Health Industry Investment Fund,1
Lightspeed China Partners,1
Silicon Valley Bank,1
Coty,1
Tusk Ventures,1
ICG,1
Fosun RZ Capital,1
OLX Group,1
index Ventures,1
Magma Venture Partners,1
FAW Group,1
Level Equity,1
Jiangsu Sha Steel Group,1
Japan Post Capital,1
JD.com,1
Hopu Investment Management,1
BlueCross BlueShield Venture Partners,1
Eight Roads Ventures,1
Phoenix New Media,1
Taigang Venture Capital,1
Clermont Group,1
Ardian,1
BNP Paribas,1
China Prosperity Capital,1
Lockheed Martin,1
Automobile Industry Guidance Fund,1
IFC,1
BPI France,1
Alibaba Pictures Group,1
Grab,1
QiMing Venture Partners,1
Times Internet,1
TPG Growth,1
Redalpine Venture Partners,1
5Y Capital,1
Ding Xiang Capital,1
Formation 8,1
Lakestar,1
FundersClub. Bain Capital Ventures,1
Tao Capital Partners,1
Tiger Brokers,1
Lerer Hippeau Ventures,1
Floodgate,1
GCP Capital Partners,1
Ivy Capital,1
DJF,1
Alpha JWC Ventures,1
One Luxury Group,1
China International Capital Corporation,1
Boxin Capital,1
Meritech Capital Partners,1
Social Capital,1
Cadenza Ventures,1
V Star Capital,1
Cox Enterprises,1
Didi Chuxing,1
AXA Venture Partners,1
Bloomberg Beta,1
Loeb.NYC,1
DESUN Capital,1
Hongdao Capital,1
Dark Horse Technology Group,1
Hemisphere Ventures,1
China Environmental Protection Industry,1
Galeo Ventures,1
Baidu,1
DFJ DragonFund,1
People Electrical Appliance Group China,1
QC Capital,1
Nintendo,1
CVF Capital Partners,1
Co-Energy Finance,1
A91 Partners,1
Rhone Capital,1
Silversmith Capital Partners,1
Zheshang Venture Capital,1
Liberty Global Ventures,1
Delphi Automotive,1
OPTrust,1
CDH Investments,1
Omidyar Network,1
SAIF Partners China,1
Next Coast Ventures,1
Woodford Investment Management,1
Promus Ventures,1
Benchmark Capital,1
Lux Capital,1
Banyan Capital,1
3i Group,1
null,1
Eastern Bell Capital,1
Obvious Ventures,1
Eniac Ventures,1
Microsoft Ventures,1
Dragoneer Investment Group,1
Illumina,1
Plug and Play Ventures,1
Left Lane Capital,1
Draft Ventures,1
next47,1
Quantum Energy Partners,1
Uncork Capital,1
VebVentures,1
Group11,1
Accomplice,1
HOF Capital,1
Partners Investment,1
MaC Venture Capital,1
Softbank Capital,1
Baseline Ventures,1
Temasek Holdings Ltd.,1
IndexVentures,1
Upfront Ventures,1
Cobalt Capital,1
Mayfair Equity Partners,1
Hedosophia,1
Earlybird Venture Capital,1
Resolute Ventures,1
Global Asset Capital,1
Owl Ventures,1
Guangdong Technology Financial Group,1
E Fund,1
Yaxia Automobile,1
Alliance Consumer Growth,1
Stonebridge Capital,1
BoxGroup,1
DFJ Growth Fund,1
Questa Capital,1
InnoVision Capital,1
Jackson Square Ventures,1
GF Xinde Investment Management Co.,1
WestBridge Capital,1
Diamler,1
TQ Ventures,1
Hopu Investment Management,1
Mangrove Capital Partners,1
Aviv Venture Capital,1
Nortzone Ventures,1
CMC Capital Partners,1
Casdin Capital,1
Coltrane Asset Management,1
CR Capital Mgmt,1
Sierra Ventures,1
Acton Capital Partners,1
Net1 UEPS Technologies,1
SAP.iO Fund,1
FinSight Ventures,1
Maverick Ventures,1
Blue Lake Capital,1
